source_file,id,category,difficulty_tier,knowledge_level,rank_tier,displayAnswer,normalizedAnswer,duplicate_count,all_rank_tiers_for_answer,duplicate_ids
questions.json,gen_000003_beg_com,gen,beginner,common,excluded_beginner_common,366,366,2,D|excluded_beginner_common,gen_000003_beg_com|gen_000063_int_com
questions.json,gen_000063_int_com,gen,intermediate,common,D,366,366,2,D|excluded_beginner_common,gen_000003_beg_com|gen_000063_int_com
questions.json,lang_000032_beg_std,lang,beginner,standard,D,Adjective,adjective,1,D,
questions.json,tech_000003_beg_com,tech,beginner,common,excluded_beginner_common,AI,ai,2,D|excluded_beginner_common,tech_000003_beg_com|tech_000063_int_com
questions.json,tech_000063_int_com,tech,intermediate,common,D,AI,ai,2,D|excluded_beginner_common,tech_000003_beg_com|tech_000063_int_com
questions.json,lang_000033_beg_std,lang,beginner,standard,D,Alphabet,alphabet,1,D,
questions.json,geo_000033_beg_std,geo,beginner,standard,D,Alps,alps,1,D,
questions.json,geo_000032_beg_std,geo,beginner,standard,D,Amazon,amazon,1,D,
questions.json,gen_000031_beg_std,gen,beginner,standard,D,Antarctica,antarctica,1,D,
questions.json,tech_000001_beg_com,tech,beginner,common,excluded_beginner_common,Apple,apple,2,D|excluded_beginner_common,tech_000001_beg_com|tech_000061_int_com
questions.json,tech_000061_int_com,tech,intermediate,common,D,Apple,apple,2,D|excluded_beginner_common,tech_000001_beg_com|tech_000061_int_com
tier_c_science_questions_30.json,sci_000029_adv_com,sci,advanced,common,C,Atmosphere,atmosphere,1,C,
questions.json,spo_000003_beg_com,spo,beginner,common,excluded_beginner_common,Badminton,badminton,2,D|excluded_beginner_common,spo_000003_beg_com|spo_000063_int_com
questions.json,spo_000063_int_com,spo,intermediate,common,D,Badminton,badminton,2,D|excluded_beginner_common,spo_000003_beg_com|spo_000063_int_com
tier_c_science_questions_30.json,sci_000003_int_std,sci,intermediate,standard,C,Black hole,blackhole,1,C,
questions.json,tech_000032_beg_std,tech,beginner,standard,D,Blockchain,blockchain,1,D,
tier_c_science_questions_30.json,sci_000022_adv_com,sci,advanced,common,C,Brain,brain,1,C,
