question_id,answer_id,difficulty_level,knowledge_level,overall_difficulty,category,sub_category,question_text,answer_display,answer_normalized,answer_chars,question_style
geo_000001_beg_com,ans_geo_japan,beginner,common,初級,Geography,east_asia,"This island country in East Asia has Tokyo as its capital and is famous for Mount Fuji, sushi, anime, Kyoto, and cherry blossoms. What country is it?",Japan,japan,"[""j"",""a"",""p"",""a"",""n""]",direct_hint
geo_000002_beg_com,ans_geo_nile,beginner,common,初級,Geography,rivers,"This river flows through Egypt and is strongly associated with ancient pyramids, pharaohs, and farming along its banks. What river is it?",Nile,nile,"[""n"",""i"",""l"",""e""]",direct_hint
geo_000003_beg_com,ans_geo_sahara,beginner,common,初級,Geography,deserts,"This huge desert covers much of North Africa and is famous for extreme heat, sand dunes, oases, and camel caravans. What desert is it?",Sahara,sahara,"[""s"",""a"",""h"",""a"",""r"",""a""]",direct_hint
his_000001_beg_com,ans_his_egypt,beginner,common,初級,History,ancient_civilization,"This ancient civilization developed along the Nile River and is famous for pyramids, mummies, hieroglyphs, and pharaohs. What civilization was it?",Egypt,egypt,"[""e"",""g"",""y"",""p"",""t""]",direct_hint
his_000002_beg_com,ans_his_world_war_2,beginner,common,初級,History,modern_history,"This global war lasted from 1939 to 1945 and involved countries such as Germany, Japan, the United States, and Britain. What war was it?",World War 2,worldwar2,"[""w"",""o"",""r"",""l"",""d"",""w"",""a"",""r"",""2""]",direct_hint
his_000003_beg_com,ans_his_napoleon,beginner,common,初級,History,europe,"This French leader became emperor, led armies across Europe, and was finally defeated at the Battle of Waterloo. Who was he?",Napoleon,napoleon,"[""n"",""a"",""p"",""o"",""l"",""e"",""o"",""n""]",direct_hint
sci_000001_beg_com,ans_sci_mars,beginner,common,初級,Science,space,This planet is called the Red Planet because of its color and is often discussed as a possible place for future human exploration. What planet is it?,Mars,mars,"[""m"",""a"",""r"",""s""]",direct_hint
sci_000002_beg_com,ans_sci_gravity,beginner,common,初級,Science,physics,This force pulls objects toward each other and is the reason things fall to the ground when dropped on Earth. What force is it?,Gravity,gravity,"[""g"",""r"",""a"",""v"",""i"",""t"",""y""]",direct_hint
sci_000003_beg_com,ans_sci_dna,beginner,common,初級,Science,biology,This molecule carries genetic information in living things and is famous for its double helix structure. What molecule is it?,DNA,dna,"[""d"",""n"",""a""]",direct_hint
spo_000001_beg_com,ans_spo_soccer,beginner,common,初級,Sports,ball_sports,"This sport is played by two teams of eleven players, and the main goal is to kick a ball into the opponent’s net. What sport is it?",Soccer,soccer,"[""s"",""o"",""c"",""c"",""e"",""r""]",direct_hint
